UserID,Gender,Age-group,AppVersion,FamilyID
64532543-7156-3944-aae9-8cdeeabad033,F,18-22,1,NULL
81e4c10a-1cf6-3f67-8a17-a276101a9a4a,M,Above 50,1,NULL
ca63c3e0-1b21-3e1f-94d0-267aae2f7518,F,Above 50,1,NULL
5732faee-7018-3a08-810b-4b831662ebae,M,40-50,1,NULL
6bf71330-c1bd-3620-a1dd-19897413c471,M,Above 50,1,NULL
90f94f23-5fb9-3b05-a47a-6c19be54df58,F,Above 50,1,NULL
420d33c2-83c7-3c06-8ba7-d31c1f3eab2a,M,Above 50,1,F032
9a3c6583-70c0-3bd9-b668-0af215cd8b7f,M,30-40,1,NULL
0dcdfafa-f657-30ff-ad25-650c27c549df,F,40-50,1,NULL
540754f7-b932-3daf-9cab-e662d96a7e96,F,22-30,1,NULL
fa4a0a02-c975-37e6-9413-3613972dda37,F,Above 50,1,NULL
ac17243a-c599-3a00-afca-13d42a8c0bf9,M,40-50,1,NULL
3ad4ef51-a06a-3437-894d-d16d48597770,F,18-22,1,NULL
928fc0b2-474c-381c-a7fb-1b3e9b02a821,F,Above 50,1,NULL
c8305931-ff06-37eb-baac-ec737a53c962,F,40-50,1,NULL
250b14e0-5c44-3d4a-8560-851d97416dd0,F,Above 50,1,NULL
75e0deda-2f41-3150-9bb0-23ae839a4b9d,M,Above 50,1,NULL
d3f3a6b6-a39f-331f-a6c2-2ce47cfe85f7,F,40-50,1,F032
326ab5eb-5beb-3ba1-ad01-ec5ccaf5c789,F,Above 50,1,NULL
96273354-d923-3a98-9b6c-019654b0db07,F,15-19,2,NULL
2341f5e6-c843-3c3f-a994-8aa53d7f25a9,F,30-40,1,F029
596e398a-5fbe-3e82-9c75-574954e6cfe1,M,Above 50,1,NULL
d66838de-1dab-38a0-a489-63cc71f32871,F,Above 50,1,NULL
e86edc38-88a4-39d3-b277-6a3127305713,M,30-40,1,F006
57628425-9865-3afa-8fff-32f97f8bcf1d,F,Above 50,1,NULL
ade25b52-57fd-37e2-8d04-4a48147cce56,F,Above 50,1,NULL
ac40c682-cf44-32e7-94bd-5d5fa3a9b893,F,18-22,1,NULL
3d1bc947-47d7-3b35-970f-0d66f65d0a9d,M,40-50,1,NULL
9fde8dab-e747-31cb-b192-b985d45269a4,M,18-22,1,F032
deff9f68-4e42-3f8c-8a34-f15638755cb8,F,Above 50,1,NULL
191bd561-2ab6-36c6-86c4-7446f8b456c9,F,Above 50,1,NULL
834d6d62-4314-3363-a768-61d7e64dff42,F,30-40,1,F035
92e76c33-adab-38d3-a387-00290ac6b901,M,Above 50,1,F026
622b942d-790d-3375-a144-7ee143887490,M,Above 50,1,NULL
a1a39f4d-0d4d-31f2-b62d-93785747786a,F,Above 50,1,NULL
b074d826-a1e4-3c7a-bb01-d4af29a2d072,F,Above 50,1,NULL
0720993f-169b-3a96-86d8-908042b94514,F,Above 50,1,F013
c8a7314d-ebad-34b0-8a57-062fa93dc877,F,Above 50,1,F026
bfd2f293-f7b1-37ba-ae2f-9b8e6c13f030,F,40-50,1,F033
12d170ee-59e4-36fa-a6f1-6cc03856fea1,F,Above 50,1,NULL
574869eb-b98b-31fc-b23a-8cbf05872cec,M,18-22,1,F029
f0b4c2e2-2e3f-3f82-a213-312ae2b13977,F,Above 50,1,F030
9aa2671e-a590-33cc-b356-7ce74b54911a,M,Above 50,1,NULL
7acd768b-0f1f-30a8-abb7-78c0307f130f,F,Above 50,1,NULL
e56824de-5ebf-329f-9656-309bfbeb5c07,F,18-22,1,F032
25efa8a4-ef0d-3db6-b0ac-a68df45b0872,F,15-19,2,NULL
0ebe4e8c-7db1-3428-a83a-f6eb00e3ea0d,F,Above 60,2,NULL
0044735f-8059-3059-ad74-64a196a27df8,F,Above 60,2,F009
93c889f3-d3a6-3b2b-b6d4-d1f9f42f716f,F,Above 60,2,NULL
d1dbc757-4d1d-35c9-8ca5-fd709a99d517,F,Above 60,2,NULL
4d902dc0-e40b-3fbc-b75c-e2e75759880a,F,20-29,2,NULL
c00572da-f3d2-304e-9652-e9e2fdbb2174,F,Above 60,2,NULL
b77ab190-f19b-3987-94a1-06c9fc303a4b,F,Above 60,2,NULL
524a4ec5-51a2-3248-a227-290045c9aa02,F,Above 60,2,F003
13c28cf1-222a-3cdb-9282-0172cbc31924,F,40-59,2,F009
6ef8819a-194a-3600-b3ad-fa83cca669f5,M,Above 60,2,F003
5de0ac1c-4512-35e3-93f6-6c59a989d494,F,Above 60,2,NULL
ea338852-e56d-32cc-86d7-be5fd456b6d5,F,40-59,2,NULL
9ffaadc6-4515-3c6f-95ee-22c7176b3f74,F,Above 60,2,NULL
f95ebb7c-d3e7-371c-b87c-d5439a35659c,F,30-39,2,NULL
040a410a-eb99-391c-a867-ccb50ff11ab6,M,Above 60,2,NULL
07654399-bbd7-3eb0-99df-796b6365cb8c,F,Above 60,2,NULL
1a72f5d2-7fd9-33c9-b527-f5fc14a30b01,F,30-39,2,NULL
5df5b4d4-33e2-3bb2-abc3-31ce82237159,F,Above 60,2,F015
67449bc8-450c-365f-a3ae-12c2c8621894,F,Above 60,2,NULL
e8ab1c7b-1c90-30fc-8d45-82920b241ba0,F,Above 60,2,F033
ad90c7c6-8bb7-30d5-9c22-822527af2161,F,Above 60,2,NULL
